,prelim.household,prelim.gender,prelim.age,hh.wealth1,hh.SMP,hh.Pesticide,base.control,base.attitudes,base.dnorms,base.innorms,base.intention,follow.control,follow.attitudes,follow.dnorms,follow.innorms,follow.intention,final.control,final.attitudes,final.dnorms,final.innorms,final.intention,follow.event_attendance,base.hotline,follow.hotline,final.hotline,base.story,follow.story,final.story,base.pledge,follow.pledge,final.pledge,base.Knowledge,follow.Knowledge,final.Knowledge,ID,Base
36,23,0,20,4,1,0,NA,NA,NA,NA,NA,12,16,5,12,8,15,20,10,12,10,0,0,2,3,0,4,5,0,3,1,0,9,9,36,0
37,42,0,73,3,1,0,NA,NA,NA,NA,NA,11,15,6,11,9,NA,NA,NA,NA,NA,1,0,0,NA,0,5,NA,0,2,NA,0,7,NA,37,0
38,33,1,46,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,38,0
39,121,1,43,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,39,0
40,79,1,35,3,0,0,NA,NA,NA,NA,NA,6,10,2,5,2,9,13,5,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
41,92,1,27,3,0,0,13,17,6,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,41,1
42,134,0,33,4,1,0,5,11,6,8,4,8,16,5,11,7,8,16,6,12,8,1,0,2,2,0,4,5,0,2,0,0,8,7,42,1
43,34,1,31,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,43,0
44,33,0,25,5,0,0,NA,NA,NA,NA,NA,12,14,7,13,8,11,16,6,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0
45,25,1,33,5,0,1,11,11,6,12,4,12,15,6,16,10,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,45,1
46,26,0,26,5,0,1,NA,NA,NA,NA,NA,12,12,8,14,8,9,16,7,14,8,0,0,2,0,0,1,0,0,0,0,0,3,0,46,0
47,1,0,37,4,0,0,NA,NA,NA,NA,NA,8,13,6,11,7,7,12,5,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0
48,83,0,26,4,1,1,NA,NA,NA,NA,NA,11,14,9,17,9,12,15,8,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0
49,26,0,31,5,0,1,NA,NA,NA,NA,NA,9,14,6,12,8,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,49,0
50,26,1,21,5,0,1,14,19,10,16,9,15,15,6,15,9,12,16,8,13,10,0,0,1,0,0,0,0,0,0,0,0,1,0,50,1
51,76,0,37,2,1,1,NA,NA,NA,NA,NA,12,16,6,13,7,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,51,0
52,130,0,50,3,0,0,NA,NA,NA,NA,NA,13,17,6,17,9,11,17,9,12,6,0,0,0,0,0,0,0,0,0,1,0,0,1,52,0
53,6,1,53,4,0,1,NA,NA,NA,NA,NA,14,15,6,15,10,12,20,6,16,10,1,0,2,2,0,5,5,0,3,3,0,10,10,53,0
54,125,0,46,3,0,0,12,18,6,17,8,13,15,6,18,9,12,13,6,12,6,1,0,2,1,0,5,4,0,3,3,0,10,8,54,1
55,14,0,50,2,0,0,8,13,7,15,6,12,14,6,16,9,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,55,1
56,11,1,72,2,0,0,11,18,6,14,9,14,20,6,18,10,NA,NA,NA,NA,NA,1,0,1,NA,0,5,NA,0,3,NA,0,9,NA,56,1
57,120,1,26,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,57,0
58,106,1,62,5,0,0,10,15,6,14,8,6,20,6,11,9,10,14,7,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,58,1
59,122,0,21,3,0,0,8,13,7,12,7,12,16,6,13,8,9,17,7,14,9,0,0,0,2,0,0,0,0,0,0,0,0,2,59,1
60,39,1,63,2,0,0,11,15,6,19,9,13,19,6,16,10,12,15,6,15,9,0,0,0,0,0,0,5,0,0,0,0,0,5,60,1
61,68,1,37,3,1,0,13,17,7,19,10,14,18,6,15,10,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,61,1
62,139,0,48,4,0,1,NA,NA,NA,NA,NA,8,13,6,13,8,9,14,7,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0
63,135,0,53,4,1,0,NA,NA,NA,NA,NA,9,13,6,10,8,10,14,6,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0
64,42,0,48,3,1,0,NA,NA,NA,NA,NA,14,17,7,19,9,NA,NA,NA,NA,NA,1,0,3,NA,0,4,NA,0,3,NA,0,10,NA,64,0
65,114,0,38,4,1,0,8,11,6,10,4,8,14,6,12,4,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,65,1
66,123,1,63,3,0,0,NA,NA,NA,NA,NA,10,14,7,16,8,11,19,9,17,10,0,0,0,0,0,0,5,0,0,1,0,0,6,66,0
67,6,0,19,4,0,1,10,14,5,14,8,12,16,6,18,9,NA,NA,NA,NA,NA,0,0,2,NA,0,0,NA,0,1,NA,0,3,NA,67,1
68,2,0,35,3,0,0,9,17,8,16,8,10,18,9,13,10,11,16,7,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,68,1
69,34,0,21,3,0,0,NA,NA,NA,NA,NA,11,17,7,16,9,9,14,7,13,7,0,0,1,0,0,0,0,0,1,1,0,2,1,69,0
70,48,1,29,4,0,1,12,14,6,14,8,10,15,6,13,8,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,70,1
71,27,0,23,4,0,1,NA,NA,NA,NA,NA,11,14,6,15,8,12,16,6,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0
72,59,0,21,2,0,0,NA,NA,NA,NA,NA,10,17,8,18,8,NA,NA,NA,NA,NA,0,0,1,NA,0,0,NA,0,2,NA,0,3,NA,72,0
73,57,0,21,4,1,0,NA,NA,NA,NA,NA,8,16,6,10,6,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,1,NA,0,1,NA,73,0
74,7,0,19,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,74,0
75,103,0,44,5,0,0,10,14,7,12,8,10,16,8,15,8,6,12,6,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,75,1
